iter	Accuracy	Logloss
0	0.7629126884	0.6678595363
1	0.7774071092	0.6461241573
2	0.7751064075	0.6276426473
3	0.779822846	0.610414646
4	0.7770620039	0.5949587666
5	0.7822385828	0.579867752
6	0.786609916	0.5673261074
7	0.7871850915	0.5559472994
8	0.7874151616	0.5461418842
9	0.7833889336	0.5371667194
10	0.7832738985	0.5299459119
11	0.7898308984	0.5230526696
12	0.7905211089	0.5156154258
13	0.7897158633	0.5084023738
14	0.7915564247	0.5035353583
15	0.7921316001	0.4996315286
16	0.7917864949	0.4956967027
17	0.7931669159	0.4909340408
18	0.7943172668	0.4870716589
19	0.7948924422	0.4834739581
20	0.7955826527	0.4804916595
21	0.7961578281	0.4774522066
22	0.7954676176	0.4747525386
23	0.7951225124	0.4719887735
24	0.7947774071	0.4694529544
25	0.7950074773	0.466778504
26	0.795927758	0.4645941833
27	0.7967330036	0.4617470247
28	0.7960427931	0.4599177581
29	0.7977683193	0.457316739
30	0.7985735649	0.4555136228
31	0.7989186702	0.4530603923
32	0.7993788105	0.4512399357
33	0.7997239158	0.4497534918
34	0.7998389509	0.447801618
35	0.7993788105	0.4460455805
36	0.8006441965	0.4444784695
37	0.8007592316	0.4432179831
38	0.8011043368	0.4420805787
39	0.8008742667	0.4399551335
40	0.8009893017	0.4383374027
41	0.8017945473	0.4365883538
42	0.8017945473	0.4346852567
43	0.801334407	0.4332935648
44	0.8017945473	0.4316649333
45	0.8028298631	0.4309551947
46	0.8040952491	0.4296605802
47	0.8042102841	0.4281702159
48	0.8040952491	0.4274762062
49	0.8040952491	0.4267286619
50	0.8042102841	0.4250562855
51	0.8045553894	0.4239189167
52	0.8046704245	0.4228238255
53	0.8051305648	0.4216380967
54	0.8054756701	0.4208761497
55	0.8054756701	0.4194830631
56	0.8066260209	0.4182811007
57	0.8070861613	0.4174665506
58	0.8069711262	0.4165628988
59	0.8072011964	0.4157163665
60	0.8066260209	0.4145667143
61	0.8074312665	0.4134189038
62	0.8073162315	0.4125200681
63	0.8072011964	0.4116646949
64	0.8077763718	0.4111719738
65	0.8077763718	0.4108319443
66	0.8082365121	0.4103107107
67	0.8086966525	0.4093203368
68	0.8085816174	0.4086130572
69	0.8086966525	0.4080610588
70	0.8095018981	0.4072466773
71	0.8100770735	0.4066422821
72	0.8103071437	0.4059693128
73	0.810767284	0.4053581651
74	0.8112274244	0.4047233051
75	0.8115725296	0.4033482653
76	0.8116875647	0.4025744153
77	0.8118025998	0.4019187781
78	0.8113424595	0.4001482022
79	0.8116875647	0.3994355959
80	0.8114574945	0.3988806917
81	0.81203267	0.3983215074
82	0.8128379156	0.3977944873
83	0.8136431612	0.3962973855
84	0.8137581962	0.3959944288
85	0.8138732313	0.3948760154
86	0.814793512	0.3942761236
87	0.8146784769	0.3938578987
88	0.8149085471	0.3933616376
89	0.8146784769	0.392897729
90	0.8151386173	0.3926033549
91	0.8152536524	0.392161357
92	0.8165190383	0.391658486
93	0.8165190383	0.3912231077
94	0.8165190383	0.3907676217
95	0.8169791786	0.3902578703
96	0.8172092488	0.3899153813
97	0.8172092488	0.389600671
98	0.8175543541	0.3888852698
99	0.8180144944	0.3886512916
100	0.8172092488	0.388173873
101	0.817439319	0.3874368215
102	0.8180144944	0.3860375274
103	0.8182445646	0.3856436045
104	0.8184746348	0.3849721627
105	0.8185896698	0.3847648466
106	0.8189347751	0.3841063801
107	0.8189347751	0.3838340654
108	0.8197400207	0.3834520355
109	0.8199700909	0.3830450219
110	0.8195099505	0.3827656007
111	0.8193949154	0.3825634465
112	0.8199700909	0.3822607782
113	0.8197400207	0.3818317732
114	0.8198550558	0.3814888665
115	0.820200161	0.3812678798
116	0.8205452663	0.3809667961
117	0.8210054066	0.3805264054
118	0.8215805821	0.3800864036
119	0.8221557575	0.3796505226
120	0.8211204417	0.3793517483
121	0.8211204417	0.379061177
122	0.8211204417	0.378576002
123	0.821465547	0.3779116644
124	0.8222707926	0.3769885752
125	0.8223858277	0.3767643767
126	0.8236512136	0.3759888735
127	0.8229610031	0.3756122711
128	0.8233061084	0.3753247979
129	0.8237662487	0.3751164283
130	0.8231910733	0.37486326
131	0.8231910733	0.3745649441
132	0.824226389	0.3741870369
133	0.825491775	0.3732554143
134	0.8250316346	0.3729023062
135	0.8251466697	0.3725982296
136	0.8253767399	0.3722565486
137	0.8258368802	0.3717155501
138	0.8258368802	0.3712335389
139	0.8259519153	0.3709172261
140	0.8262970206	0.3706844822
141	0.8261819855	0.3704422301
142	0.8262970206	0.3700238412
143	0.8277924767	0.3693955952
144	0.8276774416	0.3692258298
145	0.8284826872	0.3689579071
146	0.8280225469	0.3687083588
147	0.8276774416	0.3685386729
148	0.8287127574	0.3680777676
149	0.8284826872	0.3678419793
150	0.8285977223	0.3675606991
151	0.8287127574	0.3674141665
152	0.8284826872	0.3671290454
153	0.8289428276	0.3669135076
154	0.829518003	0.3660320346
155	0.8290578626	0.3658190503
156	0.8291728977	0.3655722144
157	0.8288277925	0.3651544956
158	0.8296330381	0.364904806
159	0.8294029679	0.3647150612
160	0.8297480732	0.3644696046
161	0.8298631082	0.3642128063
162	0.8303232486	0.3639839041
163	0.8298631082	0.3637275026
164	0.8298631082	0.3634231309
165	0.8302082135	0.3632000921
166	0.8297480732	0.3629673476
167	0.8297480732	0.362760575
168	0.8300931784	0.3625889412
169	0.8307833889	0.3622675417
170	0.8306683538	0.3620459186
171	0.8307833889	0.3617550443
172	0.8310134591	0.3614976237
173	0.8310134591	0.3613244339
174	0.8311284942	0.3610472067
175	0.8314735994	0.3607089626
176	0.8311284942	0.360367702
177	0.8314735994	0.3601211429
178	0.8317036696	0.3597810319
179	0.8325089152	0.3593659098
180	0.8325089152	0.3591285605
181	0.8327389854	0.3587122896
182	0.8329690556	0.3584693446
183	0.8328540205	0.3580862842
184	0.8328540205	0.3578445261
185	0.8326239503	0.3575240287
186	0.8330840906	0.3570797673
187	0.8329690556	0.3569254119
188	0.8334291959	0.3566958349
189	0.8334291959	0.3563765815
190	0.833544231	0.356194191
191	0.833544231	0.3558028945
192	0.833544231	0.3555695004
193	0.8333141608	0.3553644574
