iter	Passed	Remaining
0	7	7746
1	17	8644
2	25	8386
3	33	8229
4	39	7850
5	46	7716
6	52	7425
7	59	7346
8	66	7318
9	73	7268
10	80	7211
11	87	7171
12	93	7114
13	98	6942
14	103	6821
15	108	6682
16	113	6564
17	119	6515
18	125	6464
19	131	6467
20	138	6436
21	143	6377
22	148	6321
23	153	6254
24	159	6213
25	163	6132
26	168	6080
27	173	6022
28	180	6041
29	186	6016
30	192	6019
31	197	5983
32	203	5949
33	208	5921
34	213	5894
35	218	5849
36	224	5854
37	231	5852
38	237	5842
39	243	5841
40	248	5810
41	252	5766
42	257	5733
43	262	5701
44	267	5667
45	271	5634
46	276	5616
47	281	5588
48	287	5572
49	292	5559
50	297	5527
51	301	5503
52	306	5482
53	311	5450
54	315	5429
55	321	5413
56	326	5401
57	331	5387
58	336	5369
59	342	5363
60	346	5340
61	351	5317
62	355	5288
63	360	5265
64	364	5245
65	369	5222
66	373	5199
67	378	5188
68	383	5177
69	388	5161
70	394	5158
71	399	5153
72	405	5144
73	411	5144
74	415	5125
75	420	5115
76	426	5112
77	432	5108
78	437	5106
79	442	5087
80	447	5081
81	452	5069
82	458	5066
83	464	5065
84	470	5061
85	475	5050
86	480	5043
87	486	5037
88	491	5025
89	496	5021
90	500	5004
91	506	4995
92	512	4997
93	517	4985
94	521	4970
95	527	4964
96	532	4956
97	537	4945
98	542	4937
99	546	4920
100	551	4908
101	556	4895
102	560	4883
103	565	4869
104	569	4855
105	574	4843
106	578	4828
107	582	4812
108	587	4801
109	592	4794
110	597	4786
111	601	4772
112	606	4762
113	612	4756
114	617	4752
115	623	4748
116	628	4742
117	633	4734
118	638	4725
119	643	4715
120	647	4704
121	651	4692
122	657	4684
123	661	4674
124	666	4666
125	671	4657
126	676	4650
127	680	4639
128	686	4633
129	691	4626
130	695	4615
131	700	4604
132	704	4592
133	708	4579
134	713	4569
135	717	4558
136	721	4547
137	726	4535
138	730	4525
139	734	4514
140	739	4505
141	744	4497
142	748	4488
143	753	4481
144	758	4474
145	763	4468
146	768	4459
147	773	4452
148	778	4444
149	782	4434
150	787	4427
151	792	4418
152	796	4408
153	801	4400
154	805	4390
155	810	4382
156	814	4372
157	819	4366
158	823	4356
159	827	4346
160	832	4335
161	836	4329
162	841	4320
163	845	4312
164	850	4304
165	854	4294
166	859	4287
167	864	4279
168	868	4272
169	873	4264
170	877	4254
171	882	4247
172	887	4240
173	891	4231
174	895	4221
